"","M1_1_MSS","M1_2_MSS","M5_1_MSS","M5_2_MSS","T49_1_MSS","T49_2_MSS","M42_1_PD","M42_2_PD","M43_1_PD","M43_2_PD","M64_1_PD","M64_2_PD"
"890",553.337616,0,0,0,1843.296991,0,0,0,25705.40258,29351.25133,0,0
"891",0,0,0,1.866805865,6012.553584,0,1.049941186,0,45606.15364,46042.17152,1509.513736,2799.903821
"892",9978.404675,3341.926436,12621.38618,18994.98574,33915.49155,31150.1347,11783.07585,9702.647194,11360.35264,7762.391543,52309.76136,55649.5085
"893",0,1529.872818,0,0,4889.347988,7294.802173,1692.787574,0,9564.045639,15883.03923,11037.03665,8520.468212
"894",1038.015259,0,0,0,1338.072219,0,0,0,15596.94426,10378.15049,2764.224332,0
"895",141174.0803,128309.3468,43100.33254,109039.6038,178136.4677,148963.8438,134954.9094,109465.7525,159519.2364,139697.2091,212340.8103,140096.8531
"896",57808.47804,31739.20716,48438.35756,60327.91505,133323.7285,87844.99053,61176.1802,56672.8759,70211.85447,65559.56059,121841.1615,114194.4185
"897",78672.14573,61628.93191,65082.99352,66425.60749,35628.67992,28299.77609,31110.79945,17041.8592,142531.6171,131971.6962,68150.92789,95280.92504
"898",19416.14787,24666.62203,43547.11602,56449.60441,85757.25698,69730.81868,205254.657,114642.2927,29888.70488,16940.98402,208781.6916,137054.8427
"899",78694.74669,77900.47476,244909.1675,271164.447,272908.3842,231358.7119,460923.1095,225195.9842,193619.0443,127794.1028,427655.2661,222257.3626
"900",214609.9456,338006.7668,249939.7111,290025.3851,187552.6545,274307.2357,204144.8149,285921.7027,347893.8174,351763.1272,212497.0337,216379.1143
"901",18690.43398,25117.71187,25848.84873,31799.35872,20384.07548,20910.04964,96382.23294,72153.30219,12233.98753,7931.434134,52188.89171,39716.74812
"902",24163.98519,24432.29575,7677.862294,27031.54334,3538.672468,1741.629409,2882.713195,722.4620104,7741.97134,4308.234795,3028.150262,3215.523796
"903",46956.88686,37625.83124,38946.07773,42038.00423,31275.79691,19876.60046,3850.755469,4619.32638,68871.80907,59296.69053,27666.70121,24911.45262
"904",133653.0782,150236.3357,82796.59824,100783.1344,105304.3055,111965.2243,47706.19009,50774.88349,361520.2628,371237.3481,145545.7107,171187.0091
"905",289567.9469,275792.6756,280133.7666,282701.5382,403868.615,393727.4127,315537.4162,281952.014,211154.0582,220036.7357,170712.8894,185848.6961
"906",5485.323463,3077.285121,5136.262626,13581.59159,31022.48538,43457.63378,35941.74034,22007.17163,74709.84838,79244.41029,55931.6285,7968.154537
"907",50821.96423,42290.55488,19795.97411,63590.72326,23797.81072,25819.86516,79267.08747,90647.1496,178039.1371,209013.9651,91566.46736,64974.17314
"908",133146.1896,136376.5682,244723.6796,173157.5032,46945.04681,73801.45356,46495.76022,35527.90891,116009.0854,127619.5148,147245.575,143861.2129
"909",21559.19913,31512.45156,31930.50063,43101.91841,33441.29588,60404.33121,40930.10372,49621.55048,124856.7351,129740.5375,86731.58575,68629.14377
"910",470390.4703,495868.4878,748783.7957,809435.909,656192.8778,537623.552,446479.5465,447245.9886,175192.8435,210113.2183,390947.9474,341954.1715
"911",0,0,0,0,0,1284.111078,12763.58505,11868.85493,22424.07791,14913.53865,2348.349372,0
"912",48473.87008,50977.86236,20853.16438,39121.74053,29983.90913,33069.39375,30916.57034,72641.81093,9132.84191,21750.77417,16960.35788,29390.43963
